sl,date,artist,album,song,text
162,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',And let the truth unfurl
163,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',No one can hurt you now
164,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Because you know what's true
165,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Yes, I believe in me"
166,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',So you believe in you
167,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Help me sing it,"
168,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',[6x]
169,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
170,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
171,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Help me sing it!
172,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Sing it to the world
173,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Sing it out loud
174,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Help me sing it!
175,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',[8x]
176,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
177,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
178,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"woo hoo, he he he"
179,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Help me sing it!
180,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"woo hoo, he he he"
181,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Sing it to the world
182,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',[6x]
183,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
184,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
185,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"woo hoo, he he he"
186,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Help me sing it baby!
187,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Sing it to the world
188,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Sing it out loud
189,30/11/82,Michael Jackson,thriller,Baby Be Mine,I don't need no dreams when I'm by your side
190,30/11/82,Michael Jackson,thriller,Baby Be Mine,Every moment takes me to paradise
191,30/11/82,Michael Jackson,thriller,Baby Be Mine,Darlin' let me hold you
192,30/11/82,Michael Jackson,thriller,Baby Be Mine,Warm you in my arms and melt your fears away
193,30/11/82,Michael Jackson,thriller,Baby Be Mine,Show you all the magic that a perfect love can make
194,30/11/82,Michael Jackson,thriller,Baby Be Mine,I need you night and day
195,30/11/82,Michael Jackson,thriller,Baby Be Mine,So baby be mine baby you gotta be mine
196,30/11/82,Michael Jackson,thriller,Baby Be Mine,And girl I'll give you all I got to give
197,30/11/82,Michael Jackson,thriller,Baby Be Mine,So baby be my girl all the time
198,30/11/82,Michael Jackson,thriller,Baby Be Mine,And we can share this ecstasy
199,30/11/82,Michael Jackson,thriller,Baby Be Mine,As long as we believe in love
200,30/11/82,Michael Jackson,thriller,Baby Be Mine,I won't give you reason to change your mind
201,30/11/82,Michael Jackson,thriller,Baby Be Mine,I guess it's still you thrill me baby be mine
202,30/11/82,Michael Jackson,thriller,Baby Be Mine,You are all the future that I desire
203,30/11/82,Michael Jackson,thriller,Baby Be Mine,Girl I need to hold you
204,30/11/82,Michael Jackson,thriller,Baby Be Mine,Share my feelings in the heat of love's embrace
205,30/11/82,Michael Jackson,thriller,Baby Be Mine,Show you all the passion burning in my heart today
206,30/11/82,Michael Jackson,thriller,Baby Be Mine,It's never gonna fade
207,30/11/82,Michael Jackson,thriller,Baby Be Mine,So baby be mine baby you gotta be mine
208,30/11/82,Michael Jackson,thriller,Baby Be Mine,And girl I'll give you all I got to give
209,30/11/82,Michael Jackson,thriller,Baby Be Mine,So baby be my girl all the time
210,30/11/82,Michael Jackson,thriller,Baby Be Mine,You're everything this world could be
211,30/11/82,Michael Jackson,thriller,Baby Be Mine,The reason that I live
212,30/11/82,Michael Jackson,thriller,Baby Be Mine,Won't you stay with me until the mornin' sun
213,30/11/82,Michael Jackson,thriller,Baby Be Mine,I promise you now that the dawn will be different
214,30/11/82,Michael Jackson,thriller,Baby Be Mine,Lady can't you see that heaven's just begun
215,30/11/82,Michael Jackson,thriller,Baby Be Mine,It's livin' here inside our hearts
216,30/11/82,Michael Jackson,thriller,Baby Be Mine,There'll be no more mountains for us to climb
217,30/11/82,Michael Jackson,thriller,Baby Be Mine,I can't be still you thrill me baby be mine
218,30/11/82,Michael Jackson,thriller,Baby Be Mine,This will be a love lasting for all time
219,30/11/82,Michael Jackson,thriller,Baby Be Mine,Girl you got to hold me
220,30/11/82,Michael Jackson,thriller,Baby Be Mine,We can touch the sky and light the darkest day
221,30/11/82,Michael Jackson,thriller,Baby Be Mine,Hold me only you and I can make sweet love this way
222,30/11/82,Michael Jackson,thriller,Baby Be Mine,There's no more I can say
223,30/11/82,Michael Jackson,thriller,Baby Be Mine,So baby be mine baby you gotta be mine
224,30/11/82,Michael Jackson,thriller,Baby Be Mine,tell me that you love me
225,30/11/82,Michael Jackson,thriller,Baby Be Mine,And girl I'll give you all I got to give
226,30/11/82,Michael Jackson,thriller,Baby Be Mine,say you're thinking of me
227,30/11/82,Michael Jackson,thriller,Baby Be Mine,So baby be mine all the time
228,30/11/82,Michael Jackson,thriller,Baby Be Mine,show me how it should be
229,30/11/82,Michael Jackson,thriller,Baby Be Mine,You're everything this world could be
230,30/11/82,Michael Jackson,thriller,Baby Be Mine,The reason that I live
231,30/11/82,Michael Jackson,thriller,Baby Be Mine,every night it feels alright
232,30/11/82,Michael Jackson,thriller,Baby Be Mine,Baby be my girl
233,30/11/82,Michael Jackson,thriller,Baby Be Mine,tell me that you love me
234,30/11/82,Michael Jackson,thriller,Baby Be Mine,And girl I'll give you all I got to give
235,30/11/82,Michael Jackson,thriller,Baby Be Mine,say you're thinking of me
236,30/11/82,Michael Jackson,thriller,Baby Be Mine,"So baby, be mine, baby, be mine"
237,30/11/82,Michael Jackson,thriller,Baby Be Mine,show me how it should be
238,30/11/82,Michael Jackson,thriller,Baby Be Mine,You're everything this world could be to me
239,30/11/82,Michael Jackson,thriller,Baby Be Mine,every night it feels alright
240,30/11/82,Michael Jackson,thriller,Baby Be Mine,C'mon girl c'mon girl
241,30/11/82,Michael Jackson,thriller,Baby Be Mine,tell me that you love me
242,30/11/82,Michael Jackson,thriller,Baby Be Mine,say you're thinking of me
243,30/11/82,Michael Jackson,thriller,Baby Be Mine,So baby be mine
244,30/11/82,Michael Jackson,thriller,Baby Be Mine,show me how it should be
245,30/11/82,Michael Jackson,thriller,Baby Be Mine,You're everything this world could be to me
246,30/11/82,Michael Jackson,thriller,Baby Be Mine,every night it feels alright
247,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Michael:]
248,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Every night she walks right in my dreams
249,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Since I met her from the start
250,30/11/82,Michael Jackson,thriller,The Girl Is Mine,I'm so proud I am the only one
251,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Who is special in her heart
252,30/11/82,Michael Jackson,thriller,The Girl Is Mine,The girl is mine
253,30/11/82,Michael Jackson,thriller,The Girl Is Mine,The doggone girl is mine
254,30/11/82,Michael Jackson,thriller,The Girl Is Mine,I know she's mine
