sl,date,artist,album,song,word,sentiment
92,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',good,trust
93,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,anger
93,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,disgust
93,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,fear
93,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,negative
93,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,sadness
94,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',razor,fear
96,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,joy
96,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,positive
97,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',treacherous,anger
97,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',treacherous,disgust
97,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',treacherous,fear
97,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',treacherous,negative
98,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,joy
98,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,positive
106,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,fear
106,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,negative
106,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,sadness
110,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,fear
110,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,negative
110,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,sadness
112,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,anger
112,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,disgust
112,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,fear
112,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,negative
112,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,sadness
