sl,Year,artist,album,song,text
272,1982,Michael Jackson,Thriller,The Girl Is Mine,So come and go with me
273,1982,Michael Jackson,Thriller,The Girl Is Mine,Two on the town
274,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael:]
275,1982,Michael Jackson,Thriller,The Girl Is Mine,But we both cannot have her
276,1982,Michael Jackson,Thriller,The Girl Is Mine,So it's one or the other
277,1982,Michael Jackson,Thriller,The Girl Is Mine,And one day you'll discover
278,1982,Michael Jackson,Thriller,The Girl Is Mine,That she's my girl forever and ever
279,1982,Michael Jackson,Thriller,The Girl Is Mine,[Paul:]
280,1982,Michael Jackson,Thriller,The Girl Is Mine,I don't build your hopes to be let down
281,1982,Michael Jackson,Thriller,The Girl Is Mine,'Cause I really feel it's time
282,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael:]
283,1982,Michael Jackson,Thriller,The Girl Is Mine,I know she'll tell you I'm the one for her
284,1982,Michael Jackson,Thriller,The Girl Is Mine,'Cause she said I blow her mind
285,1982,Michael Jackson,Thriller,The Girl Is Mine,The girl is mine
286,1982,Michael Jackson,Thriller,The Girl Is Mine,The doggone girl is mine
287,1982,Michael Jackson,Thriller,The Girl Is Mine,Don't waste your time
288,1982,Michael Jackson,Thriller,The Girl Is Mine,Because the doggone girl is mine
289,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael and Paul:]
290,1982,Michael Jackson,Thriller,The Girl Is Mine,"She's mine, she's mine"
291,1982,Michael Jackson,Thriller,The Girl Is Mine,"No, no, no, she's mine"
292,1982,Michael Jackson,Thriller,The Girl Is Mine,"The girl is mine, the girl is mine"
293,1982,Michael Jackson,Thriller,The Girl Is Mine,"The girl is mine, the girl is mine"
294,1982,Michael Jackson,Thriller,The Girl Is Mine,[Paul:]
295,1982,Michael Jackson,Thriller,The Girl Is Mine,"The girl is mine mine, mine yep she's mine mine, mine"
296,1982,Michael Jackson,Thriller,The Girl Is Mine,"The girl is mine mine, mine yep she's mine mine, mine"
297,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael:]
298,1982,Michael Jackson,Thriller,The Girl Is Mine,Don't waste your time
299,1982,Michael Jackson,Thriller,The Girl Is Mine,Because the doggone girl is mine
300,1982,Michael Jackson,Thriller,The Girl Is Mine,"The girl is mine, the girl is mine"
301,1982,Michael Jackson,Thriller,The Girl Is Mine,[Paul:]
302,1982,Michael Jackson,Thriller,The Girl Is Mine,"Michael, we're not gonna fight about this, okay?"
303,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael:]
304,1982,Michael Jackson,Thriller,The Girl Is Mine,"Paul, I think I told you, I'm a lover not a fighter"
305,1982,Michael Jackson,Thriller,The Girl Is Mine,[Paul:]
306,1982,Michael Jackson,Thriller,The Girl Is Mine,"I've heard it all before, Michael"
307,1982,Michael Jackson,Thriller,The Girl Is Mine,"She told me that I'm her forever lover, you know, don't you remember?"
308,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael:]
309,1982,Michael Jackson,Thriller,The Girl Is Mine,"Well, after loving me, she said she couldn't love another"
310,1982,Michael Jackson,Thriller,The Girl Is Mine,[Paul]
311,1982,Michael Jackson,Thriller,The Girl Is Mine,Is that what she said?
312,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael:]
313,1982,Michael Jackson,Thriller,The Girl Is Mine,"Yes, she said it, you keep dreaming"
314,1982,Michael Jackson,Thriller,The Girl Is Mine,[Paul]
315,1982,Michael Jackson,Thriller,The Girl Is Mine,"I don't believe it mine, mine no"
316,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael and Paul:]
317,1982,Michael Jackson,Thriller,The Girl Is Mine,"The girl is mine mine, mine"
318,1982,Michael Jackson,Thriller,The Girl Is Mine,"No, mine"
319,1982,Michael Jackson,Thriller,The Girl Is Mine,"No, mine mine, mine"
320,1982,Michael Jackson,Thriller,The Girl Is Mine,[Paul:]
321,1982,Michael Jackson,Thriller,The Girl Is Mine,"She's mine mine mine mine mine mine, mine, mine"
322,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael:]
323,1982,Michael Jackson,Thriller,The Girl Is Mine,"Cause the girl is mine mine, mine"
324,1982,Michael Jackson,Thriller,The Girl Is Mine,[Paul:]
325,1982,Michael Jackson,Thriller,The Girl Is Mine,"No girl is mine mine, mine"
326,1982,Michael Jackson,Thriller,Beat It,"They told him, ""Don't you ever come around here."
327,1982,Michael Jackson,Thriller,Beat It,"Don't wanna see your face. You better disappear."""
328,1982,Michael Jackson,Thriller,Beat It,The fire's in their eyes and their words are really clear
329,1982,Michael Jackson,Thriller,Beat It,"So beat it, just beat it"
330,1982,Michael Jackson,Thriller,Beat It,"You better run, you better do what you can"
