X.,song,word,sentiment
405,Billie Jean,sweet,trust
408,Billie Jean,lover,anticipation
408,Billie Jean,lover,joy
408,Billie Jean,lover,positive
408,Billie Jean,lover,trust
412,Billie Jean,lover,anticipation
412,Billie Jean,lover,joy
412,Billie Jean,lover,positive
412,Billie Jean,lover,trust
420,Billie Jean,lover,anticipation
420,Billie Jean,lover,joy
420,Billie Jean,lover,positive
420,Billie Jean,lover,trust
422,Billie Jean,baby,joy
422,Billie Jean,baby,positive
432,Billie Jean,lover,anticipation
432,Billie Jean,lover,joy
432,Billie Jean,lover,positive
432,Billie Jean,lover,trust
433,Billie Jean,lover,anticipation
433,Billie Jean,lover,joy
433,Billie Jean,lover,positive
433,Billie Jean,lover,trust
434,Billie Jean,lover,anticipation
434,Billie Jean,lover,joy
434,Billie Jean,lover,positive
434,Billie Jean,lover,trust
436,Billie Jean,lover,anticipation
436,Billie Jean,lover,joy
436,Billie Jean,lover,positive
436,Billie Jean,lover,trust
439,Billie Jean,lover,anticipation
439,Billie Jean,lover,joy
439,Billie Jean,lover,positive
439,Billie Jean,lover,trust
442,Billie Jean,lover,anticipation
442,Billie Jean,lover,joy
442,Billie Jean,lover,positive
442,Billie Jean,lover,trust
443,Billie Jean,lover,anticipation
443,Billie Jean,lover,joy
443,Billie Jean,lover,positive
443,Billie Jean,lover,trust
445,Human Nature,time,anticipation
449,Human Nature,sweet,anticipation
449,Human Nature,sweet,joy
449,Human Nature,sweet,positive
449,Human Nature,sweet,surprise
449,Human Nature,sweet,trust
451,Human Nature,time,anticipation
455,Human Nature,bite,negative
463,Human Nature,stranger,fear
463,Human Nature,stranger,negative
464,Human Nature,electric,joy
464,Human Nature,electric,positive
464,Human Nature,electric,surprise
483,Human Nature,shoulder,positive
483,Human Nature,shoulder,trust
507,P.Y.T. (Pretty Young Thing),good,anticipation
507,P.Y.T. (Pretty Young Thing),good,joy
507,P.Y.T. (Pretty Young Thing),good,positive
507,P.Y.T. (Pretty Young Thing),good,surprise
507,P.Y.T. (Pretty Young Thing),good,trust
509,P.Y.T. (Pretty Young Thing),pretty,anticipation
509,P.Y.T. (Pretty Young Thing),pretty,joy
509,P.Y.T. (Pretty Young Thing),pretty,positive
509,P.Y.T. (Pretty Young Thing),pretty,trust
509,P.Y.T. (Pretty Young Thing),young,anticipation
509,P.Y.T. (Pretty Young Thing),young,joy
509,P.Y.T. (Pretty Young Thing),young,positive
509,P.Y.T. (Pretty Young Thing),young,surprise
510,P.Y.T. (Pretty Young Thing),baby,joy
510,P.Y.T. (Pretty Young Thing),baby,positive
512,P.Y.T. (Pretty Young Thing),baby,joy
512,P.Y.T. (Pretty Young Thing),baby,positive
515,P.Y.T. (Pretty Young Thing),sugar,positive
516,P.Y.T. (Pretty Young Thing),perfect,anticipation
516,P.Y.T. (Pretty Young Thing),perfect,joy
516,P.Y.T. (Pretty Young Thing),perfect,positive
516,P.Y.T. (Pretty Young Thing),perfect,trust
516,P.Y.T. (Pretty Young Thing),time,anticipation
518,P.Y.T. (Pretty Young Thing),hit,anger
518,P.Y.T. (Pretty Young Thing),hit,negative
519,P.Y.T. (Pretty Young Thing),ease,positive
519,P.Y.T. (Pretty Young Thing),love,joy
519,P.Y.T. (Pretty Young Thing),love,positive
519,P.Y.T. (Pretty Young Thing),pain,fear
519,P.Y.T. (Pretty Young Thing),pain,negative
519,P.Y.T. (Pretty Young Thing),pain,sadness
521,P.Y.T. (Pretty Young Thing),love,joy
521,P.Y.T. (Pretty Young Thing),love,positive
522,P.Y.T. (Pretty Young Thing),pretty,anticipation
522,P.Y.T. (Pretty Young Thing),pretty,joy
522,P.Y.T. (Pretty Young Thing),pretty,positive
522,P.Y.T. (Pretty Young Thing),pretty,trust
522,P.Y.T. (Pretty Young Thing),young,anticipation
522,P.Y.T. (Pretty Young Thing),young,joy
522,P.Y.T. (Pretty Young Thing),young,positive
522,P.Y.T. (Pretty Young Thing),young,surprise
524,P.Y.T. (Pretty Young Thing),tender,joy
524,P.Y.T. (Pretty Young Thing),tender,positive
524,P.Y.T. (Pretty Young Thing),tender,trust
524,P.Y.T. (Pretty Young Thing),love,joy
524,P.Y.T. (Pretty Young Thing),love,positive
526,P.Y.T. (Pretty Young Thing),love,joy
526,P.Y.T. (Pretty Young Thing),love,positive
527,P.Y.T. (Pretty Young Thing),pretty,anticipation
527,P.Y.T. (Pretty Young Thing),pretty,joy
527,P.Y.T. (Pretty Young Thing),pretty,positive
527,P.Y.T. (Pretty Young Thing),pretty,trust
527,P.Y.T. (Pretty Young Thing),young,anticipation
527,P.Y.T. (Pretty Young Thing),young,joy
527,P.Y.T. (Pretty Young Thing),young,positive
527,P.Y.T. (Pretty Young Thing),young,surprise
529,P.Y.T. (Pretty Young Thing),tender,joy
529,P.Y.T. (Pretty Young Thing),tender,positive
529,P.Y.T. (Pretty Young Thing),tender,trust
529,P.Y.T. (Pretty Young Thing),love,joy
529,P.Y.T. (Pretty Young Thing),love,positive
534,P.Y.T. (Pretty Young Thing),baby,joy
534,P.Y.T. (Pretty Young Thing),baby,positive
535,P.Y.T. (Pretty Young Thing),emergency,fear
535,P.Y.T. (Pretty Young Thing),emergency,negative
535,P.Y.T. (Pretty Young Thing),emergency,sadness
