Date,Open,High,Low,Close,Adj Close,Volume
2015-11-26,82.400002,82.400002,81.480003,81.480003,79.277840,169
2015-11-27,79.019997,82.000000,79.019997,81.110001,78.917839,623
2015-11-30,94.989998,94.989998,80.599998,83.220001,80.970810,438
2015-12-01,84.800003,85.449997,82.000000,82.000000,79.783783,324
2015-12-02,84.980003,85.000000,82.550003,82.550003,80.318924,196
2015-12-03,89.000000,89.000000,89.000000,89.000000,86.594597,5
2015-12-04,85.900002,85.900002,79.000000,82.449997,80.221619,10
2015-12-07,94.000000,94.000000,94.000000,94.000000,91.459457,2
2015-12-08,81.000000,81.000000,80.000000,80.160004,77.993515,1004
2015-12-09,80.879997,80.900002,78.750000,79.000000,76.864868,541
2015-12-10,79.099998,80.980003,79.019997,80.000000,77.837837,1090
2015-12-11,80.000000,81.849998,80.000000,80.000000,77.837837,858
2015-12-14,79.989998,79.989998,79.000000,79.000000,76.864868,608
2015-12-15,79.000000,79.000000,79.000000,79.000000,76.864868,383
2015-12-16,79.010002,81.000000,79.000000,79.120003,76.981628,1955
2015-12-17,81.739998,81.750000,79.550003,79.550003,77.400002,136
2015-12-18,82.500000,82.959999,81.500000,81.500000,79.297302,284
2015-12-21,81.000000,83.300003,79.510002,79.570000,77.419464,643
2015-12-22,81.480003,81.650002,79.699997,81.400002,79.200005,179
2015-12-23,81.699997,82.949997,81.099998,82.650002,80.416222,732
2015-12-24,82.480003,82.480003,82.480003,82.480003,80.250816,240
2015-12-28,93.900002,93.900002,85.400002,85.400002,83.091896,100
2015-12-29,83.879997,84.599998,82.500000,84.500000,82.216217,225
2015-12-30,84.900002,87.000000,81.620003,81.620003,79.414055,874
2015-12-31,83.849998,83.889999,82.010002,82.010002,79.793518,135
2016-01-01,84.500000,86.989998,82.000000,82.099998,79.881081,1027
2016-01-04,90.000000,90.000000,84.949997,85.000000,82.702705,15
2016-01-05,84.400002,84.400002,84.400002,84.400002,82.118919,2
2016-01-06,81.449997,81.879997,80.500000,80.500000,78.324326,91
2016-01-07,79.500000,80.300003,77.150002,78.190002,76.076759,3393
2016-01-08,82.800003,82.800003,82.800003,82.800003,80.562164,1
2016-01-11,81.980003,81.980003,79.849998,81.550003,79.345947,2128
2016-01-12,81.989998,84.000000,81.989998,82.000000,79.783783,339
2016-01-13,81.000000,82.800003,80.050003,82.349998,80.124321,599
2016-01-14,81.000000,83.349998,81.000000,83.080002,80.834595,568
2016-01-15,80.500000,82.000000,80.500000,81.879997,79.667023,656
2016-01-18,80.349998,82.500000,80.099998,81.459999,79.258377,409
2016-01-19,83.480003,83.480003,82.650002,83.440002,81.184868,500
2016-01-20,83.440002,86.000000,77.110001,79.839996,77.682159,993
2016-01-21,82.480003,82.480003,79.000000,81.800003,79.589195,602
2016-01-22,81.900002,82.980003,81.739998,82.250000,80.027031,471
2016-01-25,84.300003,84.699997,84.000000,84.400002,82.118919,208
2016-01-27,83.900002,84.400002,81.000000,81.000000,78.810814,50321
2016-01-28,84.800003,84.800003,80.500000,80.510002,78.334061,611916
2016-01-29,81.849998,81.849998,80.300003,80.699997,78.518921,616152
2016-02-01,82.000000,82.000000,80.000000,80.300003,78.129730,266341
2016-02-02,81.250000,81.250000,80.099998,81.000000,78.810814,1073
2016-02-03,91.900002,91.900002,90.000000,90.000000,87.567566,10
2016-02-04,80.750000,81.000000,80.500000,80.500000,78.324326,127
2016-02-05,87.000000,87.000000,87.000000,87.000000,84.648651,2
2016-02-08,82.900002,82.949997,82.900002,82.900002,80.659462,15
2016-02-09,79.000000,79.000000,79.000000,79.000000,76.864868,1
2016-02-10,80.000000,80.000000,80.000000,80.000000,77.837837,1
2016-02-11,76.000000,77.900002,73.650002,77.889999,75.784866,6478
2016-02-12,72.000000,72.000000,72.000000,72.000000,70.054054,15
2016-02-15,76.000000,76.000000,76.000000,76.000000,73.945946,300
2016-02-16,73.500000,74.000000,70.279999,73.000000,71.027031,8893
2016-02-17,73.779999,73.779999,72.050003,72.050003,70.102707,756
2016-02-18,75.400002,75.400002,73.800003,74.099998,72.097298,300
2016-02-19,74.199997,74.410004,74.199997,74.199997,72.194595,307
2016-02-22,74.870003,74.870003,74.760002,74.800003,72.778381,549
2016-02-23,72.849998,73.250000,72.849998,73.250000,71.270271,2
2016-02-24,73.000000,73.379997,72.500000,72.580002,70.618378,3240
2016-02-25,72.809998,72.809998,72.250000,72.250000,70.297302,814
2016-02-26,72.949997,72.949997,72.400002,72.750000,70.783783,445
2016-02-29,78.000000,78.000000,78.000000,78.000000,75.891891,64
2016-03-01,73.080002,74.400002,73.080002,74.400002,72.389191,461
2016-03-02,75.349998,75.349998,71.099998,75.349998,73.313515,884
2016-03-03,76.900002,89.000000,76.650002,77.000000,74.918922,325
2016-03-04,76.699997,76.900002,76.699997,76.800003,74.724327,614
2016-03-08,78.400002,78.400002,78.400002,78.400002,76.281082,2
2016-03-09,76.930000,77.959999,76.930000,77.410004,75.317841,2474
2016-03-10,77.050003,78.029999,76.930000,77.510002,75.415138,1993
2016-03-11,77.500000,78.059998,77.500000,77.620003,75.522163,333
2016-03-14,77.599998,78.260002,77.599998,78.099998,75.989189,1544
2016-03-15,77.650002,77.989998,77.099998,77.099998,75.016212,7730
2016-03-16,76.949997,77.199997,76.500000,77.150002,75.064865,202
2016-03-17,78.300003,78.500000,77.320000,77.320000,75.230270,547
2016-03-18,78.099998,78.519997,77.639999,78.500000,76.378380,22728
2016-03-21,79.080002,79.360001,78.760002,79.360001,77.215134,3324
2016-03-22,78.970001,79.610001,78.949997,79.540001,77.390274,4268
2016-03-23,79.309998,79.699997,79.309998,79.699997,77.545944,6976
2016-03-28,79.699997,79.849998,78.820000,79.400002,77.254059,12190
2016-03-29,79.099998,79.099998,78.720001,79.050003,76.913521,428
2016-03-30,80.250000,80.250000,80.250000,80.250000,78.081085,23
2016-03-31,80.610001,80.610001,78.410004,79.629997,77.477837,684
2016-04-01,80.209999,80.400002,79.919998,79.919998,77.760002,1163
2016-04-04,80.190002,80.250000,79.949997,80.199997,78.032433,1104
2016-04-05,81.250000,81.250000,81.250000,81.250000,79.054054,2
2016-04-06,79.000000,79.000000,78.599998,78.599998,76.475677,673
2016-04-07,78.570000,78.570000,78.330002,78.330002,76.212975,611
2016-04-08,78.639999,78.849998,78.589996,78.699997,76.572968,590
2016-04-11,78.550003,78.550003,78.550003,78.550003,76.427032,1
2016-04-12,79.870003,79.949997,79.430000,79.900002,77.740540,660
2016-04-13,80.000000,81.500000,80.000000,81.500000,79.297302,2
2016-04-18,81.180000,81.959999,81.180000,81.629997,79.423782,688
2016-04-20,82.000000,82.000000,81.389999,81.870003,79.657303,247
2016-04-21,81.750000,81.750000,81.750000,81.750000,79.540543,30
2016-04-22,81.989998,82.089996,81.309998,81.309998,79.112434,685
2016-04-25,81.510002,81.510002,81.410004,81.410004,79.209732,115
2016-04-26,82.000000,82.550003,76.099998,82.000000,79.783783,174
2016-04-27,83.360001,84.000000,83.000000,83.510002,81.252975,383
2016-04-28,81.830002,82.750000,81.400002,81.400002,79.200005,903
2016-04-29,81.680000,81.680000,80.900002,81.000000,81.000000,324
2016-05-02,85.000000,85.000000,85.000000,85.000000,85.000000,142
2016-05-03,81.000000,84.800003,77.849998,77.849998,77.849998,27
2016-05-04,78.000000,78.000000,77.500000,77.500000,77.500000,2403
2016-05-05,77.949997,77.949997,77.949997,77.949997,77.949997,2
2016-05-06,77.250000,78.430000,77.199997,78.190002,78.190002,13074
2016-05-09,79.000000,79.000000,79.000000,79.000000,79.000000,1
2016-05-10,79.250000,79.809998,79.000000,79.650002,79.650002,5402
2016-05-11,79.019997,79.489998,78.900002,79.120003,79.120003,2881
2016-05-12,79.589996,79.809998,79.300003,79.580002,79.580002,1278
2016-05-13,79.500000,79.500000,78.510002,78.510002,78.510002,3739
2016-05-16,78.650002,79.059998,78.250000,79.059998,79.059998,2257
2016-05-17,79.660004,80.550003,79.360001,79.519997,79.519997,8661
2016-05-18,79.010002,79.059998,78.800003,78.970001,78.970001,2426
2016-05-19,79.209999,79.330002,78.750000,78.750000,78.750000,855
2016-05-20,78.669998,78.669998,78.000000,78.000000,78.000000,33527
2016-05-23,86.599998,86.599998,77.900002,77.930000,77.930000,784
2016-05-24,77.500000,77.500000,77.400002,77.400002,77.400002,4
2016-05-25,78.980003,79.650002,78.980003,79.610001,79.610001,2378
2016-05-26,80.250000,80.650002,80.250000,80.650002,80.650002,207
2016-05-27,81.459999,81.930000,81.459999,81.900002,81.900002,9727
2016-05-30,82.449997,82.449997,82.449997,82.449997,82.449997,24
2016-05-31,82.570000,82.570000,81.910004,82.010002,82.010002,1580
2016-06-01,82.699997,82.699997,82.099998,82.099998,82.099998,1005
2016-06-02,82.199997,82.949997,81.900002,82.589996,82.589996,5589
2016-06-03,83.099998,83.099998,83.099998,83.099998,83.099998,5
2016-06-06,82.849998,82.849998,82.849998,82.849998,82.849998,2
2016-06-07,75.000000,75.000000,75.000000,75.000000,75.000000,400
2016-06-08,83.300003,83.300003,82.820000,83.290001,83.290001,6289
2016-06-09,83.000000,83.000000,83.000000,83.000000,83.000000,1
2016-06-10,82.639999,83.410004,82.190002,82.190002,82.190002,4285
2016-06-13,81.599998,81.900002,81.599998,81.900002,81.900002,50
2016-06-14,81.870003,81.870003,81.260002,81.690002,81.690002,2567
2016-06-15,82.010002,82.949997,81.949997,82.949997,82.949997,7203
2016-06-16,82.540001,82.540001,81.739998,82.269997,82.269997,2015
2016-06-17,82.910004,82.910004,82.220001,82.320000,82.320000,2073
2016-06-20,82.250000,83.239998,82.250000,83.070000,83.070000,2625
2016-06-21,83.370003,83.370003,82.900002,82.970001,82.970001,1951
2016-06-22,83.000000,83.080002,82.500000,82.500000,82.500000,1608
2016-06-23,83.139999,83.599998,82.620003,83.370003,83.370003,2004
2016-06-24,81.000000,81.000000,78.000000,78.000000,78.000000,202
2016-06-27,81.550003,81.550003,81.550003,81.550003,81.550003,1
2016-06-28,82.250000,82.250000,82.250000,82.250000,82.250000,100
2016-06-29,82.629997,82.970001,82.500000,82.680000,82.680000,2104
2016-06-30,83.669998,83.790001,83.410004,83.779999,83.779999,1922
2016-07-01,84.089996,84.500000,84.010002,84.330002,84.330002,3801
2016-07-04,84.699997,84.699997,84.699997,84.699997,84.699997,5
2016-07-05,84.449997,84.449997,84.449997,84.449997,84.449997,2
2016-07-07,84.150002,84.349998,84.000000,84.349998,84.349998,3703
2016-07-08,84.199997,84.199997,83.849998,84.019997,84.019997,22374
2016-07-11,85.599998,85.599998,85.599998,85.599998,85.599998,1
2016-07-12,85.870003,86.040001,85.650002,85.980003,85.980003,3467
2016-07-13,86.000000,86.099998,85.760002,86.099998,86.099998,8436
2016-07-14,86.099998,86.099998,86.099998,86.099998,86.099998,99
2016-07-15,86.940002,86.940002,86.169998,86.449997,86.449997,2122
2016-07-18,86.769997,87.000000,85.940002,85.940002,85.940002,2646
